"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"1","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod26.6)","Quartz",-0.0404269222057038,-0.101915677459358,0.0196189830993874
"2","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod27.2)","Quartz",-0.0351842582098292,-0.13281324314689,0.0644873727380461
"3","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod29.6)","Quartz",-0.0773267451491569,-0.156418998787549,0.00467700668453358
"4","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod37.1)","Quartz",-0.127617304693171,-0.250999954897348,-0.000239988854366602
"5","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod49.8)","Quartz",0.0125931815679076,-0.0887674663434461,0.108544466128242
"6","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod26.6)","Quartz",-0.0827783747150188,-0.190940616352625,0.017404023677891
"7","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod27.2)","Quartz",-0.076557542865261,-0.204997690106447,0.0527228547443436
"8","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod29.6)","Quartz",-0.119872582632021,-0.239571907409225,-0.00758833639790363
"9","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod37.1)","Quartz",-0.17057914247197,-0.324352342932099,-0.0223769092111318
"10","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod49.8)","Quartz",-0.0292036087377026,-0.160878529766852,0.0959063373033641
"11","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",-0.0372680496444699,-0.164101068511527,0.0779902108011828
"12","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",-0.0801444644052229,-0.181428790230131,0.0322755775035117
"13","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.130119436577457,-0.275945378218976,0.00998018640109177
"14","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.01041370591323,-0.107935020720383,0.133253006619123
"15","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",-0.0861318826481343,-0.21007701626724,0.0533476134427896
"16","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",-0.134792650154065,-0.305057988706643,0.022795023654376
"17","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.00571000151832918,-0.132876650739038,0.150061263517182
"18","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",-0.093021606318416,-0.243200952222858,0.0655470460367826
"19","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0474972954274427,-0.0914929768044672,0.172918224300957
"20","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.0975858235937533,-0.0568703183508276,0.261695735169494
"21","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod8.4 - STRAT_mod27.2)","Quartz",0.00467815406334912,-0.0974251214201469,0.107963287248507
"22","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod8.4 - STRAT_mod29.6)","Quartz",-0.0375768668378478,-0.121290301118213,0.0473108376628971
"23","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod8.4 - STRAT_mod37.1)","Quartz",-0.087291449916907,-0.21213643919549,0.0417922252004614
"24","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod8.4 - STRAT_mod49.8)","Quartz",0.0528542964813549,-0.0527127681740869,0.150234751554372
"25","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod26.6)","Quartz",-0.0426970282385469,-0.104283831036073,0.020958882128554
"26","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod27.2)","Quartz",-0.0372680496444699,-0.164101068511527,0.0779902108011828
"27","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod29.6)","Quartz",-0.0801444644052229,-0.181428790230131,0.0322755775035117
"28","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod37.1)","Quartz",-0.130119436577457,-0.275945378218976,0.00998018640109177
"29","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod49.8)","Quartz",0.01041370591323,-0.107935020720383,0.133253006619123
"30","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",0.00241651288494055,-0.138316457912365,0.143247742764417
"31","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",-0.0402596813545382,-0.167239400666351,0.085769879029222
"32","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.0901895777044252,-0.24490145240974,0.0740557423793589
"33","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.049274271355503,-0.0894220827993314,0.190500299015967
"34","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",-0.0450433954913769,-0.178374113848922,0.0881768521750846
"35","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",-0.0942443885745237,-0.249877244874413,0.0800672896970413
"36","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.0457873224316794,-0.104027299843174,0.185205635686142
"37","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",-0.0523408553717141,-0.207786823394123,0.102222181178141
"38","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0877705176250991,-0.0433387219957747,0.227951955477299
"39","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.137329422238684,-0.0271394177312297,0.297977331531551
"40","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod8.4 - STRAT_mod29.6)","Quartz",-0.041953655905136,-0.152152790557748,0.0803116309234768
"41","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod8.4 - STRAT_mod37.1)","Quartz",-0.0924502006678631,-0.24394024173915,0.0594230358032842
"42","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod8.4 - STRAT_mod49.8)","Quartz",0.0486620320460731,-0.082819823260897,0.174046198979923
"43","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod26.6)","Quartz",-0.048132137759466,-0.17372555987557,0.0664841037473977
"44","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod27.2)","Quartz",-0.0426970282385469,-0.104283831036073,0.020958882128554
"45","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod29.6)","Quartz",-0.0861318826481343,-0.21007701626724,0.0533476134427896
"46","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod37.1)","Quartz",-0.134792650154065,-0.305057988706643,0.022795023654376
"47","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod49.8)","Quartz",0.00571000151832918,-0.132876650739038,0.150061263517182
"48","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",-0.00251498326327929,-0.0730833819129006,0.0629898517713385
"49","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",-0.0450433954913769,-0.178374113848922,0.0881768521750846
"50","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.0942443885745237,-0.249877244874413,0.0800672896970413
"51","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.0457873224316794,-0.104027299843174,0.185205635686142
"52","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",-0.0515581880126136,-0.251825090454102,0.152821009761451
"53","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",-0.0978063479027591,-0.315101491272578,0.135487463306765
"54","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.0403121745843865,-0.170520899404681,0.245907264783499
"55","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",-0.0555882622900311,-0.244648960278281,0.1047979071473
"56","(STRAT_mod8.4 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0822137830954238,-0.0687664687434168,0.239737644352034
