Category,Pottery,Post-Wilton,Wilton,Oakhurst,Elsa,Total
thin points,14,8,18,2,0,42
flat points,3,3,5,1,0,12
linkshafts,2,0,1,0,0,3
shaft frags,152,90,129,26,0,397
decorated frags,0,0,2,1,0,3
blunt shaft ends,28,8,11,1,0,48
spatulate pieces,9,4,3,0,0,16
notched/snapped,10,17,6,2,0,35
fletched ends,0,1,2,0,0,3
cut bone frags,9,0,1,2,0,12
striated bone,2,0,4,0,0,6
polished frags,12,4,24,6,0,46
miscellaneous,3,8,11,0,0,22
bone rings,0,0,3,0,0,3
bone beads,2,0,1,0,0,3
pendants,1,0,3,0,0,4
bone flakes,35,22,98,2,0,157
