"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"1","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod26.6)","Quartz",-0.028079256054905,-0.0528056618778496,-0.00386321319559313
"2","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod27.2)","Quartz",-0.0777120147133017,-0.1174735538186,-0.0396465040705736
"3","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod29.6)","Quartz",-0.0634387988979481,-0.0954072092116514,-0.0322490328357192
"4","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod37.1)","Quartz",-0.0845597660901969,-0.135802588878953,-0.039280877035289
"5","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod8.4 - STRAT_mod49.8)","Quartz",-0.0396271193236315,-0.0791894655980934,-0.00302309061224548
"6","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod26.6)","Quartz",-0.0221283885890313,-0.0612534706856818,0.0217226969211373
"7","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod27.2)","Quartz",-0.0716817221600954,-0.123042129387341,-0.021652790961646
"8","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod29.6)","Quartz",-0.0571860050894404,-0.102932784158269,-0.0112822288156598
"9","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod37.1)","Quartz",-0.0782680458324549,-0.137448862141504,-0.0209988290554772
"10","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod25.5 - STRAT_mod49.8)","Quartz",-0.0338645272873681,-0.0820897903563456,0.0184687256563971
"11","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",-0.0434343290224457,-0.0916943943673774,0.00261427738572717
"12","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",-0.0289633259902218,-0.0711211289362543,0.0124733039962073
"13","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.0505318200536422,-0.104317315300634,0.005214380388884
"14","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",-0.00592633265648868,-0.0510817795514367,0.0422267781499097
"15","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0208050278589833,-0.030546681490629,0.072220972101102
"16","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",-0.000981997703937365,-0.0627016155804641,0.0653801356395216
"17","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.0440456344028435,-0.0109352783132106,0.0998675404602749
"18","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",-0.0152376557321503,-0.0758020483361421,0.0408501883419503
"19","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0298406272747509,-0.0207746187231037,0.080255909078438
"20","(STRAT_mod8.4 - STRAT_mod25.5) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.0513951436721771,-0.0107881460330566,0.115405700014455
"21","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod8.4 - STRAT_mod27.2)","Quartz",-0.0496433642240988,-0.0900107380093931,-0.0102110135767548
"22","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod8.4 - STRAT_mod29.6)","Quartz",-0.0350470026652845,-0.0686321725438366,-0.00186882043504655
"23","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod8.4 - STRAT_mod37.1)","Quartz",-0.0566323097649917,-0.106899397518753,-0.0063307479835224
"24","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod8.4 - STRAT_mod49.8)","Quartz",-0.0117051740842111,-0.0495263161064461,0.0284064255166534
"25","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod26.6)","Quartz",0.00594835829949258,-0.0194636869727232,0.0305083491976506
"26","(STRAT_mod8.4 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod27.2)","Quartz",-0.0434343290224457,-0.0916943943673774,0.00261427738572717
