"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"1","STRAT_mod8.4 - STRAT_mod25.5","Quartz",0.372404268833169,0.238999776650903,0.501620117036724
"2","STRAT_mod8.4 - STRAT_mod26.6","Quartz",0.110962943834637,-0.0389055279242067,0.245383291396122
"3","STRAT_mod8.4 - STRAT_mod27.2","Quartz",0.144267381648041,-0.0574070153448828,0.353754947765461
"4","STRAT_mod8.4 - STRAT_mod29.6","Quartz",0.377097869038119,0.215336585020427,0.552669272389209
"5","STRAT_mod8.4 - STRAT_mod37.1","Quartz",0.292739243736632,0.0523192129999773,0.533130617563666
"6","STRAT_mod8.4 - STRAT_mod49.8","Quartz",0.41771868566166,0.206316734875385,0.62892020333733
"7","STRAT_mod25.5 - STRAT_mod26.6","Quartz",-0.261468831826333,-0.381896029654168,-0.132417527374766
"8","STRAT_mod25.5 - STRAT_mod27.2","Quartz",-0.226958324698134,-0.433420395832957,-0.0323124427116421
"9","STRAT_mod25.5 - STRAT_mod29.6","Quartz",0.00616940432830762,-0.142170083502499,0.165965555906995
"10","STRAT_mod25.5 - STRAT_mod37.1","Quartz",-0.0801988337414419,-0.318059901183417,0.14861643319649
"11","STRAT_mod25.5 - STRAT_mod49.8","Quartz",0.0428611248922535,-0.168619383631517,0.240471803874951
"12","STRAT_mod26.6 - STRAT_mod27.2","Quartz",0.034949202868359,-0.178756643929137,0.23801802435935
"13","STRAT_mod26.6 - STRAT_mod29.6","Quartz",0.267665615382578,0.100735890280593,0.429998134991597
"14","STRAT_mod26.6 - STRAT_mod37.1","Quartz",0.181174910769419,-0.0583434575333108,0.419800565237286
"15","STRAT_mod26.6 - STRAT_mod49.8","Quartz",0.307432370470422,0.085878459545474,0.509515285774457
"16","STRAT_mod27.2 - STRAT_mod29.6","Quartz",0.232001958449508,-0.000993556299747511,0.451515152467549
"17","STRAT_mod27.2 - STRAT_mod37.1","Quartz",0.145860530324586,-0.128067128989477,0.432609575116899
"18","STRAT_mod27.2 - STRAT_mod49.8","Quartz",0.269650448295093,0.0183047448713543,0.542128390952129
"19","STRAT_mod29.6 - STRAT_mod37.1","Quartz",-0.0873391362602054,-0.346903617177382,0.16596335687658
"20","STRAT_mod29.6 - STRAT_mod49.8","Quartz",0.0384684802326258,-0.183077058652832,0.267429859957043
"21","STRAT_mod37.1 - STRAT_mod49.8","Quartz",0.123103646025491,-0.158792611326751,0.411540176048897
"22","STRAT_mod8.4 - STRAT_mod25.5","Quartzite",0.0853474632854978,-0.244838283388991,0.431161930486946
