"","STRAT_mod","RAWMATERIAL","CONARDUNIFIEDTYPOLOGY","mean","l95","u95"
"1","8.4","Quartz","Bipolar",0.638407266267013,0.514782555634938,0.756342717334731
"2","8.4","Quartz","Inclined",0.0151081685837217,0.000256896667439571,0.0517039023281317
"3","8.4","Quartz","Platform",0.346484565149265,0.230188011381562,0.468293852561498
"4","8.4","Quartzite","Bipolar",0.243468936931733,0.0651074132126612,0.480467498568146
"5","8.4","Quartzite","Inclined",0.168667667869977,0.0248246511792364,0.406418866564524
"6","8.4","Quartzite","Platform",0.58786339519829,0.326033155492953,0.829647158226355
"7","8.4","Silcrete","Bipolar",0.330271715026527,0.104647369003477,0.604921723489766
"8","8.4","Silcrete","Inclined",0.0316217020740466,0.00028797580221728,0.126462448988943
"9","8.4","Silcrete","Platform",0.638106582899426,0.353408746510701,0.880519952467312
"10","25.5","Quartz","Bipolar",0.702022012036639,0.589722082436288,0.806352346601642
"11","25.5","Quartz","Inclined",0.0313092554724252,0.00397101654305763,0.0799493808204364
"12","25.5","Quartz","Platform",0.266668732490936,0.166990076904949,0.376646524753358
"13","25.5","Quartzite","Bipolar",0.18169889825987,0.0115883468344347,0.481574465003492
"14","25.5","Quartzite","Inclined",0.0304992787011867,0.000107217098148147,0.136105279981492
"15","25.5","Quartzite","Platform",0.787801823038943,0.450423742001053,0.98567980251168
"16","25.5","Silcrete","Bipolar",0.273593158063582,0.0951776596990159,0.49419056360226
"17","25.5","Silcrete","Inclined",0.145579276431921,0.0250568092871057,0.345740731015635
"18","25.5","Silcrete","Platform",0.580827565504496,0.33907032319337,0.807308635238415
"19","26.6","Quartz","Bipolar",0.618925409538191,0.49469238945939,0.737855798504994
"20","26.6","Quartz","Inclined",0.032362512055053,0.00432269113133765,0.0826332064779555
"21","26.6","Quartz","Platform",0.348712078406756,0.231650380299039,0.472140995442942
"22","26.6","Quartzite","Bipolar",0.191087042223677,0.0258322994294697,0.446915547168122
"23","26.6","Quartzite","Inclined",0.107708670534484,0.00539467414766145,0.350337570809858
"24","26.6","Quartzite","Platform",0.701204287241839,0.390147489852804,0.937493208687786
"25","26.6","Silcrete","Bipolar",0.280406434766911,0.056719582970085,0.581129866043961
"26","26.6","Silcrete","Inclined",0.0361245983428147,0.000269252108501809,0.15382919825123
"27","26.6","Silcrete","Platform",0.683468966890275,0.358329494493912,0.932211581527984
"28","27.2","Quartz","Bipolar",0.677309187622385,0.501934266292427,0.835370105214724
"29","27.2","Quartz","Inclined",0.0216110067377121,0.000236840434368136,0.076682957352028
"30","27.2","Quartz","Platform",0.301079805639903,0.147768944204396,0.476983740652084
"31","27.2","Quartzite","Bipolar",0.122097970190596,0.00851113488737729,0.33077192797758
"32","27.2","Quartzite","Inclined",0.0144597842637148,3.01573763096505e-05,0.063746215773466
"33","27.2","Quartzite","Platform",0.86344224554569,0.634754969492096,0.989997356504077
"34","27.2","Silcrete","Bipolar",0.261063110049697,0.0164072658006647,0.671977577735046
"35","27.2","Silcrete","Inclined",0.0414004244771208,6.42631238051808e-05,0.198037876622317
"36","27.2","Silcrete","Platform",0.697536465473183,0.249012996670156,0.980198451153496
"37","29.6","Quartz","Bipolar",0.616654807249525,0.446051579392057,0.776062887603453
"38","29.6","Quartz","Inclined",0.0566444568772012,0.00666420622275429,0.146176509018571
"39","29.6","Quartz","Platform",0.326700735873274,0.173936129621399,0.499058065947166
"40","29.6","Quartzite","Bipolar",0.180706688661925,0.0118833090637151,0.479071446694873
"41","29.6","Quartzite","Inclined",0.0331314111154417,0.000121449320298972,0.148198302200479
"42","29.6","Quartzite","Platform",0.786161900222633,0.452613211693588,0.984177391278021
"43","29.6","Silcrete","Bipolar",0.348653988773603,0.122956766378817,0.612731721428866
"44","29.6","Silcrete","Inclined",0.208886538389064,0.0371672640465924,0.476612325645537
"45","29.6","Silcrete","Platform",0.442459472837333,0.18571596837554,0.720675383451797
"46","37.1","Quartz","Bipolar",0.57530698891672,0.331612435124582,0.797014331906134
"47","37.1","Quartz","Inclined",0.0369380656998342,0.000475681797070776,0.134039123980762
"48","37.1","Quartz","Platform",0.387754945383446,0.168084871597529,0.63383550208322
"49","37.1","Quartzite","Bipolar",0.120391223071772,0.016875150748976,0.290642696141017
"50","37.1","Quartzite","Inclined",0.0595907482846662,0.00296198505620374,0.192761802261124
"51","37.1","Quartzite","Platform",0.820018028643562,0.61028225350639,0.963425187852447
"52","37.1","Silcrete","Bipolar",0.38179106475819,0.0301334811542076,0.807079395636578
"53","37.1","Silcrete","Inclined",0.0768435088323935,0.000413898080996503,0.348061036879307
"54","37.1","Silcrete","Platform",0.541365426409416,0.121171033885485,0.953548046327867
"55","49.8","Quartz","Bipolar",0.752995992919812,0.552561309604838,0.911266499058249
"56","49.8","Quartz","Inclined",0.0301612446905748,0.000290835807751523,0.108157743243605
"57","49.8","Quartz","Platform",0.216842762389613,0.066467242251088,0.414859061493996
"58","49.8","Quartzite","Bipolar",0.59377239795092,0.168109731809378,0.938548305314739
"59","49.8","Quartzite","Inclined",0.0764442668754957,0.000294498869019727,0.341630608655727
"60","49.8","Quartzite","Platform",0.329783335173584,0.0214367863651069,0.789852162216384
"61","49.8","Silcrete","Bipolar",0.593527399022361,0.172711906758306,0.939119521321733
"62","49.8","Silcrete","Inclined",0.0778206810382183,0.00031464920322715,0.359802959287246
"63","49.8","Silcrete","Platform",0.328651919939421,0.0240722939309137,0.78750663260611
